541|María Alejandra Barrales Magdaleno|PRD|México|703|Martha Angélica Tagle Martínez
566|Raúl Gracia Guzmán|PAN|Nuevo León|704|Baltazar  Martínez Montemayor
542|Mario Delgado Carrillo|PT|México|705|Xiuh Guillermo Tenorio Antiga
555|Ivonne Liliana Álvarez García|PRI|Nuevo León|706|Mayela María de Lourdes Quiroga Tamez
543|Pablo Escudero Morales|PVEM|México|707|José María Tapia Franco
550|Marcela Guerra Castillo|PRI|Nuevo León|708|Eva Patricia  Salazar Marroquín
544|Ismael Hernández Deras|PRI|Durango|709|Óscar  García Barron
545|Martha Elena García Gómez|PAN|Nayarit|710|Ángela Esmeralda  Ortiz Urciaga
538|Margarita Flores Sánchez|PRI|Nayarit|711|Michelle Arandine Barrón Vivanco
546|Juana Leticia Herrera Ale|PRI|Durango|712|Yolanda de la Torre Valdez
534|Manuel Humberto Cota Jiménez|PRI|Nayarit|713|Raymundo García Chávez
547|José Rosas Aispuro Torres|PAN|Durango|714|Héctor David Flores Ávalos
531|Lisbeth Hernández Lecona|PRI|Morelos|715|Cecilia Verónica  López González
527|Rabindranath Salazar Solorio|PT|Morelos|716|Miguel Enrique  Lucía Espejo
548|Fernando Torres Graciano|PAN|Guanajuato|717|Adriana  Rodríguez Vizcarra Velázquez
522|Fidel Demédicis Hidalgo|PT|Morelos|718|Eduardo Ernesto  Carrasco Zanini Castillo
549|Juan Carlos Romero Hicks|PAN|Guanajuato|719|Leticia  Villegas Nava
551|Miguel Ángel Chico Herrera|PRI|Guanajuato|720|Bonifacio  Rodríguez Olivares
552|Armando Ríos Piter|Independiente|Guerrero|721|Celestino  Cesáreo Guzmán
553|Sofío Ramírez Hernández|PRI|Guerrero|722|Misael  Medrano Baza
554|René Juárez Cisneros|PRI|Guerrero|723|Esteban Albarrán Mendoza
556|Omar Fayad Meneses|PRI|Hidalgo|724|Jesús Priego Calva
557|David Penchyna Grub|PRI|Hidalgo|725|Carmen Dorantes Martínez
558|Isidro Pedraza Chávez|PRD|Hidalgo|726|Arturo  Aparicio Barrios
559|Arturo Zamora Jiménez|PRI|Jalisco|727|María Verónica Martínez Espinoza
560|Jesús Casillas Romero|PRI|Jalisco|728|Hugo  Contreras Zepeda
